HSP20; MATRIX.,88
ARGINASE_2; MATRIX.,292
BH4_AAA_HYDROXYL_2; MATRIX.,347
PSP1_C; MATRIX.,87
MACPF_2; MATRIX.,333
DBINO; MATRIX.,126
HSR; MATRIX.,117
XYLOSE_ISOMERASE; MATRIX.,402
MIB_HERC2; MATRIX.,79
ARF; MATRIX.,168
RAN; MATRIX.,165
RAB; MATRIX.,200
RHO; MATRIX.,180
RAS; MATRIX.,194
SAR1; MATRIX.,179
MIRO; MATRIX.,150
ROC; MATRIX.,194
SCD; MATRIX.,86
ABL; MATRIX.,101
KAIA_N; MATRIX.,167
KAIA_C; MATRIX.,109
AP_NUCLEASE_F2_4; MATRIX.,280
PNT; MATRIX.,86
NUP_C; MATRIX.,138
AP_NUCLEASE_F1_4; MATRIX.,267
POTYVIRUS_NIA_PRO; MATRIX.,219
CG_1; MATRIX.,129
ALBUMIN_2; MATRIX.,200
MENTAL; MATRIX.,172
TIM_2; MATRIX.,244
CPCD_LIKE; MATRIX.,53
M_PRO; MATRIX.,302
PCS; MATRIX.,227
FH2; MATRIX.,399
PBS_LINKER; MATRIX.,180
PACIFASTIN; MATRIX.,35
FDX_ACB; MATRIX.,95
P_TREFOIL_2; MATRIX.,44
MTTASE_N; MATRIX.,114
LRR; MATRIX.,22
PIPK; MATRIX.,350
MYOSIN_MOTOR; MATRIX.,679
BEN; MATRIX.,101
FIDO; MATRIX.,138
GAR; MATRIX.,74
NC1_FIB; MATRIX.,227
NUDIX; MATRIX.,132
P_GLUCOSE_ISOMERASE_3; MATRIX.,503
SIS; MATRIX.,141
KAZAL_2; MATRIX.,55
PINIT; MATRIX.,158
HARP; MATRIX.,76
VIT; MATRIX.,129
SUN; MATRIX.,166
FG_GAP; MATRIX.,61
FE2OG_OXY; MATRIX.,89
RRM_NUP35; MATRIX.,82
GNK2; MATRIX.,106
PROTEASOME_ALPHA_2; MATRIX.,214
PROTEASOME_BETA_2; MATRIX.,180
PAH; MATRIX.,71
ZF_RTR1; MATRIX.,85
DHAL; MATRIX.,202
DHAK; MATRIX.,322
DEGV; MATRIX.,277
B5; MATRIX.,77
G8; MATRIX.,125
PHYTOCYANIN; MATRIX.,102
REKLES; MATRIX.,96
NBD; MATRIX.,68
KBD; MATRIX.,53
BUB1_N; MATRIX.,159
KHA; MATRIX.,83
TAU_MAP_2; MATRIX.,31
PEPTIDASE_C23; MATRIX.,91
AV_NSP4_PRO; MATRIX.,202
SPOIVB; MATRIX.,240
GLUE; MATRIX.,198
CVC; MATRIX.,54
UMA; MATRIX.,48
MABP; MATRIX.,152
APO; MATRIX.,86
SIN; MATRIX.,39
ZF_DNL; MATRIX.,98
S_R_A_B_BARREL; MATRIX.,95
HIG1; MATRIX.,92
H15; MATRIX.,73
SCA7; MATRIX.,68
CBL_PTB; MATRIX.,307
IRF_2; MATRIX.,107
CKK; MATRIX.,136
PHOSPHAGEN_KINASE_N; MATRIX.,83
PHOSPHAGEN_KINASE_C; MATRIX.,235
FIP_RBD; MATRIX.,63
DFDF; MATRIX.,37
FFD; MATRIX.,17
BRX; MATRIX.,56
BIN3_SAM; MATRIX.,242
SOX_C; MATRIX.,124
NDT80; MATRIX.,265
SGF29_C; MATRIX.,144
RWP_RK; MATRIX.,85
NSP2PRO; MATRIX.,324
HTUSP; MATRIX.,223
ZF_NANOS; MATRIX.,55
ZF_HD_DIMER; MATRIX.,50
NET; MATRIX.,82
RFX_DBD; MATRIX.,77
FLAVIVIRUS_NS2B; MATRIX.,131
FLAVIVIRUS_NS3PRO; MATRIX.,180
CYSTATIN_FETUIN_A; MATRIX.,113
CYSTATIN_FETUIN_B; MATRIX.,112
FV_PR; MATRIX.,140
PITH; MATRIX.,176
ADD; MATRIX.,135
SEFIR; MATRIX.,141
PESTIVIRUS_NS3PRO; MATRIX.,174
TFG; MATRIX.,21
NV_3CL_PRO; MATRIX.,181
AV_CP; MATRIX.,108
AV_PCP_ALPHA; MATRIX.,111
AV_PCP_BETA; MATRIX.,114
FYRN; MATRIX.,60
FYRC; MATRIX.,83
PI3K_ABD; MATRIX.,90
PIK_HELICAL; MATRIX.,177
PI3K_RBD; MATRIX.,93
PI3K_C2; MATRIX.,155
BIRNAVIRUS_VP4_PRO; MATRIX.,228
DM13; MATRIX.,107
EPH_LBD; MATRIX.,182
EPHRIN_RBD_2; MATRIX.,138
GMPS_ATP_PPASE; MATRIX.,195
PFL; MATRIX.,648
SAM_MT12; MATRIX.,1090
SAM_MT_MG_PIX; MATRIX.,343
SAM_RMT2; MATRIX.,239
SAM_MT_NNT1; MATRIX.,286
RNA_CAP0_MT; MATRIX.,329
SAM_MTA70L_1; MATRIX.,580
SAM_ICMT; MATRIX.,302
SAM_MT43_SETD3; MATRIX.,597
SAM_MT43_TRX_MLL; MATRIX.,1059
SAM_MT43_SUVAR420_1; MATRIX.,635
SAM_MT43_SET2_1; MATRIX.,762
DOT1; MATRIX.,315
SAM_MT43_SUVAR420_2; MATRIX.,326
SAM_MT43_PR_SET; MATRIX.,348
SAM_MT43_1; MATRIX.,1114
SAM_MT43_SUVAR39_1; MATRIX.,1262
SAM_MT43_2; MATRIX.,428
SAM_MT43_SUVAR39_2; MATRIX.,729
SAM_MT43_EZ; MATRIX.,945
SAM_MT43_SET7; MATRIX.,394
SAM_MT43_SET2_2; MATRIX.,504
SAM_MT43_SUVAR39_3; MATRIX.,522
SAM_MT43_3; MATRIX.,743
SAM_GTMT; MATRIX.,294
SAM_PEAMT; MATRIX.,491
SAM_MT127; MATRIX.,550
SAM_MT_TPMT; MATRIX.,218
SAM_MT56_VP3; MATRIX.,945
SAM_MT_MNV_L; MATRIX.,203
RNA_CAP01_NS5_MT; MATRIX.,265
SAM_MTA70L_2; MATRIX.,513
SAM_HNMT; MATRIX.,294
SAM_CHO2; MATRIX.,906
SAM_PEMT_PEM2; MATRIX.,279
SAM_GNMT; MATRIX.,288
SAM_MT_UBIE; MATRIX.,230
SAM_CLNMT; MATRIX.,323
SAM_MT59; MATRIX.,500
SAM_MT_2O_PK; MATRIX.,259
SAM_MT_RRMJ; MATRIX.,203
SAM_MT_ADRIFT; MATRIX.,215
SAM_MT_PUTRESCINE; MATRIX.,353
SAM_TRM61; MATRIX.,256
SAM_MT_RNA_M5U_1; MATRIX.,509
SAM_MT_RNA_M5U_2; MATRIX.,684
SAM_MT_TRMH_1; MATRIX.,1436
SAM_MT_TRMH_2; MATRIX.,1600
SAM_MT_TRMB; MATRIX.,217
SAM_MT_TRM1; MATRIX.,381
SAM_MT_TRM11; MATRIX.,536
CXC; MATRIX.,103
CRC; MATRIX.,125
MRG; MATRIX.,179
AGENET_LIKE; MATRIX.,53
HEMOPEXIN_2; MATRIX.,47
HD_CAS3; MATRIX.,184
HTH_OST; MATRIX.,74
PHR_CRY_ALPHA_BETA; MATRIX.,130
CYSTATIN_KININOGEN; MATRIX.,105
YCGL; MATRIX.,85
NPH3; MATRIX.,268
DHR_1; MATRIX.,175
DHR_2; MATRIX.,413
AV_ZBD; MATRIX.,67
CV_ZBD; MATRIX.,84
4FE4S; MATRIX.,60
PSRV_HELICASE; MATRIX.,291
BFN; MATRIX.,133
GT23; MATRIX.,292
BP_PHYTASE; MATRIX.,318
STATHMIN_3; MATRIX.,143
YCAO; MATRIX.,366
ENKURIN; MATRIX.,93
QLQ; MATRIX.,36
WRC; MATRIX.,45
TSAA_2; MATRIX.,135
4FE4S_MOW_BIS_MGD; MATRIX.,57
SHKT; MATRIX.,35
ACT; MATRIX.,77
ACT_LIKE; MATRIX.,75
SUZ; MATRIX.,78
4FE4S_WBL; MATRIX.,62
SAM_MT_TRM10; MATRIX.,194
FF; MATRIX.,56
NODB; MATRIX.,186
SAM_MT_PRMT; MATRIX.,313
SAM_MT_C5; MATRIX.,327
SAM_MT_DRM; MATRIX.,330
SAM_MT_NNMT_PNMT_TEMT; MATRIX.,254
SAM_OMT_I; MATRIX.,218
SAM_OMT_II; MATRIX.,326
SAM_MT_TRM5_TYW2; MATRIX.,264
SAM_MT_ERG6_SMT; MATRIX.,288
SAM_MT_RSMB_NOP; MATRIX.,290
SAM_MT_RNA_M5U; MATRIX.,362
ICA; MATRIX.,102
SAM_RNA_A_N6_MT; MATRIX.,260
ALPHAVIRUS_CP; MATRIX.,150
PEPTIDASE_S6; MATRIX.,251
PESTIVIRUS_NS2_PRO; MATRIX.,149
HCV_NS2_PRO; MATRIX.,124
PEPTIDASE_M66; MATRIX.,260
SEDOLISIN; MATRIX.,376
ALOG; MATRIX.,124
U_BOX; MATRIX.,75
SEA_DG; MATRIX.,112
SEPARIN; MATRIX.,96
6_CYS; MATRIX.,140
HTH_MU; MATRIX.,67
DZF; MATRIX.,356
GP_PDE; MATRIX.,253
G_HFLX; MATRIX.,167
G_ENGB; MATRIX.,178
CYTH; MATRIX.,174
CHAD; MATRIX.,263
G_TRME; MATRIX.,158
G_OBG; MATRIX.,175
G_FEOB; MATRIX.,163
G_ENGA; MATRIX.,173
G_ERA; MATRIX.,169
G_BMS1; MATRIX.,171
G_GB1_RHD3; MATRIX.,229
G_IRG; MATRIX.,183
G_VLIG; MATRIX.,244
G_DYNAMIN_2; MATRIX.,273
G_SEPTIN; MATRIX.,274
G_AIG1; MATRIX.,205
G_CP; MATRIX.,157
G_TR_2; MATRIX.,201
PEPTIDASE_M60; MATRIX.,309
SPOR; MATRIX.,79
ABM; MATRIX.,89
MYST_HAT; MATRIX.,278
CBP_P300_HAT; MATRIX.,425
RTT109_HAT; MATRIX.,373
GNAT_YJDJ; MATRIX.,87
GNAT_ATAT; MATRIX.,183
GNAT_NAGS; MATRIX.,153
ASN_GLN_ASE_3; MATRIX.,329
BPL_LPL_CATALYTIC; MATRIX.,183
SAM_MPBQ_MSBQ_MT; MATRIX.,208
VP35_IID; MATRIX.,126
RECOMBINASES_3; MATRIX.,138
RECOMBINASE_DNA_BIND; MATRIX.,113
PEPTIDASE_C21; MATRIX.,155
SPOVT_ABRB; MATRIX.,45
F_BAR; MATRIX.,261
PPC; MATRIX.,137
ALPHAVIRUS_MT; MATRIX.,181
HC_PRO_CPD; MATRIX.,122
PB1; MATRIX.,83
PPM_2; MATRIX.,253
CYT_DCMP_DEAMINASES_2; MATRIX.,121
HEXOKINASE_2; MATRIX.,446
HNH_CAS9; MATRIX.,156
BRO_N; MATRIX.,117
EXPERA; MATRIX.,143
JACALIN_LECTIN; MATRIX.,141
HBM; MATRIX.,242
OVATE; MATRIX.,60
OMPR_PHOB; MATRIX.,100
LXG; MATRIX.,235
TH1; MATRIX.,182
LETM1_RBD; MATRIX.,227
CBM15; MATRIX.,149
GH10_2; MATRIX.,327
GH11_3; MATRIX.,191
GH16_2; MATRIX.,224
CBM10; MATRIX.,37
GH26; MATRIX.,313
ZF_RAG1; MATRIX.,30
DOCKERIN; MATRIX.,69
PEPTIDASE_A1; MATRIX.,312
HOTDOG_ACOT; MATRIX.,113
CGT_MARTX_CPD; MATRIX.,182
ACD; MATRIX.,435
OCP_N; MATRIX.,152
NAB; MATRIX.,81
GTD_BINDING; MATRIX.,99
RH1; MATRIX.,89
RH2; MATRIX.,77
VAST; MATRIX.,171
POTRA; MATRIX.,72
GW; MATRIX.,79
SH3B; MATRIX.,66
LYSM; MATRIX.,45
PH_BEACH; MATRIX.,112
EXOI_SH3; MATRIX.,155
EXOI_C; MATRIX.,122
LON_PROTEOLYTIC; MATRIX.,185
LON_N; MATRIX.,191
CULT; MATRIX.,108
RLR_CTR; MATRIX.,129
MSRB; MATRIX.,123
HSAC2; MATRIX.,168
YIPPEE; MATRIX.,98
MIS18; MATRIX.,100
DAC; MATRIX.,152
ZF_FLZ; MATRIX.,45
MSS4; MATRIX.,115
TCTP_3; MATRIX.,170
ZF_C2H2_AKAP95; MATRIX.,24
ZF_CHHC_U11_48K; MATRIX.,28
